Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,[IFNg] serum,[IgE] serum,[IgG1] serum,[IgG2a] serum,[IL-4] serum,[IL-5] serum,[IL-10] serum,[IFNg] Ag MLN stim,[IFN] CD3 MLN stim,[IFN] Media MLN stim,[IL-5] Media MLN stim,[IL-5] Ag MLN stim,[IL-5] CD3 MLN stim,[IL-10] Media MLN stim,[IL-10] CD MLN stim,[IL-10] Ag MLN stim,[IL-17]Media MLN stim,[IL-17] CD MLN stim,[IL-17] Ag MLN stim,[GAPDH] QPCR Gut,[Arg1] QPCR Gut,[CD36] QPCR Gut,[Idlr] QPCR Gut,[iNOS] QPCR Gut,[PPARg1&2] QPCR Gut,[RELMa] QPCR Gut,[Arg1] QPCR Spleen,[CD36] QPCR Spleen,[GAPDH] QPCR Spleen,[Idlr] QPCR Spleen,[iNOS] QPCR spleen,[PPARg1&2] QPCR spleen,[RELMa] QPCR spleen,wean BW,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BWd9,BWd21,FinalBW,ADWG,ADWG expt,ADWG expt diet,FI 1,FI 2,FI 3,FI 4,FI 5,FI 6,FI 7,FI 8,FI 9,FI 10,FI 11,ADFI,ADFI expt,spleen wt,gut wt,Spl_BW,Gut_BW,granulomas,colon contents,wet carcass wt,dry carcass wt,DMR ratio,Fat %,EIC,Adult Male,Adult Female,Juv Male,Juv Female,Total worms,tWB,PCF,Juv Per
SB-105,74,ROH,1_0,1,0,HP,21.000,0.000,0.074,"6,400.000",400.000,0.130,0.000,0.000,0.000,9.733,0.000,0.000,,,0.000,0.566,0.000,0.000,4.668,0.000,0.018,0.000,0.000,0.013,0.000,0.000,0.003,0.715,0.072,0.592,4.495,0.130,0.479,0.065,9.910,12.270,18.010,22.170,25.470,25.600,26.010,30.270,34.900,36.430,41.140,40.940,41.280,,43.730,43.730,1.025,0.937,1.477,2.855,4.493,5.073,4.073,4.040,4.853,4.603,4.033,4.870,3.673,3.498,,,0.153,1.685,3.499,38.532,11.000,0.170,40.090,15.700,0.392,14.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,75,ROL,0_1,0,1,HP,9.000,0.000,0.147,"3,200.000",0.000,0.000,0.000,0.000,3.858,11.659,4.034,0.086,1.238,5.746,0.000,2.873,0.600,0.000,1.244,0.000,2.170,0.016,0.416,22.350,0.202,0.130,0.005,0.389,0.015,0.243,0.780,0.089,0.094,0.040,5.530,8.620,8.390,12.340,13.880,13.750,15.300,16.250,16.360,17.030,,,,16.620,,16.620,0.336,0.186,0.110,2.227,3.545,3.603,3.123,2.900,2.545,2.250,2.048,,,,,,0.098,0.880,5.897,52.948,0.000,0.090,15.940,5.000,0.314,5.245,0.000,4.000,5.000,0.000,0.000,9.000,1.000,0.000,0.000
SB-105,76,ROL,1_1,1,1,LP,9.000,0.000,0.273,400.000,0.000,0.000,0.030,,0.000,0.891,0.817,0.000,0.165,1.443,0.057,0.857,0.071,0.000,0.606,0.000,0.411,0.000,0.110,0.168,0.049,0.034,0.002,0.349,0.054,0.400,2.615,0.188,0.141,0.010,7.620,8.970,10.000,12.810,12.640,12.540,12.400,12.500,12.660,12.760,,,,13.120,,13.120,0.167,0.013,0.060,2.620,3.340,2.750,2.530,2.163,2.285,2.333,2.243,,,,,,0.048,0.658,3.666,50.152,0.000,0.140,12.650,4.600,0.364,10.891,0.000,1.000,0.000,0.000,0.000,1.000,0.301,*,0.000
SB-105,77,ROL,0_1,0,1,LP,21.000,0.000,0.258,400.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.434,0.000,0.018,3.135,0.047,0.039,0.001,0.269,0.066,0.354,1.335,0.124,0.179,0.013,7.830,9.500,10.830,9.130,12.230,12.990,13.330,13.700,13.690,14.240,14.760,14.970,15.100,,15.530,15.530,0.233,0.278,0.183,2.820,2.265,2.820,3.478,2.370,2.620,2.743,3.143,2.550,3.023,2.640,,,0.039,0.617,2.511,39.730,0.000,0.030,14.470,5.600,0.387,13.532,"1,782.000",8.000,6.000,0.000,0.000,14.000,1.176,297.000,0.000
SB-105,78,ROL,0_1,0,1,HP,21.000,0.000,0.232,800.000,0.000,0.000,0.000,,0.000,2.137,0.000,0.000,0.188,0.211,0.000,0.217,0.000,0.000,0.000,0.000,0.465,0.000,0.017,2.435,0.064,0.023,0.001,0.296,0.076,0.262,2.170,0.138,0.379,0.025,7.030,9.220,11.080,13.200,14.220,13.600,15.170,15.840,15.960,15.680,16.540,16.350,16.600,,17.050,17.050,0.304,0.167,0.157,2.957,3.218,3.543,2.913,3.087,2.560,2.067,1.905,2.340,1.870,1.867,,,0.045,0.768,2.639,45.044,0.000,0.010,15.430,5.800,0.376,12.276,558.000,7.000,7.000,0.000,0.000,14.000,1.176,79.714,0.000
SB-105,79,ROL,1_1,1,1,HP,21.000,0.000,0.407,"6,400.000",0.000,0.536,,,0.000,3.304,0.000,0.026,0.000,1.249,0.077,0.735,0.091,0.000,0.155,0.000,0.411,0.017,0.119,0.057,0.041,0.027,0.025,0.141,0.227,0.414,3.835,0.259,0.764,0.007,5.540,8.250,9.620,11.520,12.370,10.230,12.090,12.580,12.620,14.230,13.880,14.350,14.280,,14.620,14.620,0.275,0.135,0.211,2.667,2.978,3.137,2.548,2.813,2.113,1.727,2.088,1.757,1.718,1.893,,,0.070,0.884,4.774,60.465,0.000,0.090,13.110,4.300,0.328,6.863,859.500,7.000,7.000,0.000,0.000,14.000,1.176,122.786,0.000
SB-105,80,ROH,0_1,0,1,HP,9.000,0.000,0.012,0.000,400.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.024,1.600,0.551,4.517,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.724,0.007,0.009,0.003,1.054,0.160,0.908,0.920,0.104,0.948,0.021,11.070,15.310,20.460,23.310,27.480,28.000,30.910,35.120,37.580,40.600,,,,41.410,,41.410,0.919,0.787,0.875,3.795,5.050,5.913,4.107,5.073,5.797,3.873,4.467,,,,,,0.167,2.323,4.033,56.098,25.000,0.190,37.820,15.000,0.397,14.618,1.500,9.000,15.000,0.000,0.000,24.000,1.398,0.100,0.000
SB-105,81,ROH,0_0,0,0,LP,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.015,0.016,0.000,0.000,1.250,0.095,0.489,1.785,0.091,0.449,0.015,9.050,12.080,16.400,21.120,25.930,23.940,30.390,31.110,31.850,33.200,32.400,34.150,34.810,,35.650,35.650,0.806,0.632,0.438,3.223,5.010,5.723,3.690,4.750,6.277,5.465,5.803,3.998,4.603,4.740,,,0.075,1.428,2.104,40.056,0.000,0.070,33.250,14.200,0.427,18.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,82,ROH,1_1,1,1,LP,21.000,0.000,0.405,"496,000.000","12,800.000",0.000,0.000,,0.000,1.138,0.000,0.000,0.000,3.677,0.000,6.392,0.000,0.000,0.000,0.000,0.125,0.020,0.090,0.015,0.026,0.010,0.068,0.396,0.078,0.227,1.105,0.201,0.338,0.055,8.190,11.160,14.530,18.300,22.080,20.090,23.890,24.640,21.950,21.940,22.080,21.080,20.730,,20.020,20.020,0.358,0.075,-0.323,3.215,4.313,4.813,2.830,3.718,4.790,2.108,2.083,2.368,1.490,1.703,,,0.082,2.295,4.096,114.635,26.000,,17.550,5.700,0.325,6.501,,45.000,56.000,0.000,0.000,101.000,2.009,0.000,0.000
SB-105,83,ROH,0_1,0,1,LP,9.000,0.000,0.030,400.000,800.000,0.203,0.190,0.063,0.000,0.000,0.000,0.012,0.034,4.226,0.485,6.680,0.000,0.000,0.000,0.000,0.713,0.026,0.001,4.380,0.043,0.022,0.033,0.157,0.126,0.322,4.140,0.182,0.287,0.005,7.870,10.260,14.530,18.700,23.280,24.910,28.730,30.000,28.460,27.050,,,,26.500,,26.500,0.565,0.339,-0.186,3.263,4.597,4.988,4.080,4.928,5.043,3.878,3.530,,,,,,0.118,1.766,4.453,66.642,3.000,0.140,24.110,8.400,0.348,9.170,0.000,3.000,3.000,2.000,4.000,12.000,1.114,0.000,50.000
